Date,Year,Month,Day,Day of Week,Quarter,Week of Year,Is Weekend
2020-07-18,2020,7,18,Saturday,3,29,True
2020-07-19,2020,7,19,Sunday,3,29,True
2020-07-20,2020,7,20,Monday,3,30,False
2020-07-21,2020,7,21,Tuesday,3,30,False
2020-07-22,2020,7,22,Wednesday,3,30,False
2020-07-23,2020,7,23,Thursday,3,30,False
2020-07-24,2020,7,24,Friday,3,30,False
2020-07-25,2020,7,25,Saturday,3,30,True
2020-07-26,2020,7,26,Sunday,3,30,True
2020-07-27,2020,7,27,Monday,3,31,False
2020-07-28,2020,7,28,Tuesday,3,31,False
2020-07-29,2020,7,29,Wednesday,3,31,False
2020-07-30,2020,7,30,Thursday,3,31,False
2020-07-31,2020,7,31,Friday,3,31,False
2020-08-01,2020,8,1,Saturday,3,31,True
2020-08-02,2020,8,2,Sunday,3,31,True
2020-08-03,2020,8,3,Monday,3,32,False
2020-08-04,2020,8,4,Tuesday,3,32,False
2020-08-05,2020,8,5,Wednesday,3,32,False
2020-08-06,2020,8,6,Thursday,3,32,False
2020-08-07,2020,8,7,Friday,3,32,False
2020-08-08,2020,8,8,Saturday,3,32,True
2020-08-09,2020,8,9,Sunday,3,32,True
2020-08-10,2020,8,10,Monday,3,33,False
2020-08-11,2020,8,11,Tuesday,3,33,False
2020-08-12,2020,8,12,Wednesday,3,33,False
2020-08-13,2020,8,13,Thursday,3,33,False
2020-08-14,2020,8,14,Friday,3,33,False
2020-08-15,2020,8,15,Saturday,3,33,True
2020-08-16,2020,8,16,Sunday,3,33,True
2020-08-17,2020,8,17,Monday,3,34,False
2020-08-18,2020,8,18,Tuesday,3,34,False
2020-08-19,2020,8,19,Wednesday,3,34,False
2020-08-20,2020,8,20,Thursday,3,34,False
2020-08-21,2020,8,21,Friday,3,34,False
2020-08-22,2020,8,22,Saturday,3,34,True
2020-08-23,2020,8,23,Sunday,3,34,True
2020-08-24,2020,8,24,Monday,3,35,False
2020-08-25,2020,8,25,Tuesday,3,35,False
2020-08-26,2020,8,26,Wednesday,3,35,False
2020-08-27,2020,8,27,Thursday,3,35,False
2020-08-28,2020,8,28,Friday,3,35,False
2020-08-29,2020,8,29,Saturday,3,35,True
2020-08-30,2020,8,30,Sunday,3,35,True
2020-08-31,2020,8,31,Monday,3,36,False
2020-09-01,2020,9,1,Tuesday,3,36,False
2020-09-02,2020,9,2,Wednesday,3,36,False
2020-09-03,2020,9,3,Thursday,3,36,False
2020-09-04,2020,9,4,Friday,3,36,False
2020-09-05,2020,9,5,Saturday,3,36,True
2020-09-06,2020,9,6,Sunday,3,36,True
2020-09-07,2020,9,7,Monday,3,37,False
2020-09-08,2020,9,8,Tuesday,3,37,False
2020-09-09,2020,9,9,Wednesday,3,37,False
2020-09-10,2020,9,10,Thursday,3,37,False
2020-09-11,2020,9,11,Friday,3,37,False
2020-09-12,2020,9,12,Saturday,3,37,True
2020-09-13,2020,9,13,Sunday,3,37,True
2020-09-14,2020,9,14,Monday,3,38,False
2020-09-15,2020,9,15,Tuesday,3,38,False
2020-09-16,2020,9,16,Wednesday,3,38,False
2020-09-17,2020,9,17,Thursday,3,38,False
2020-09-18,2020,9,18,Friday,3,38,False
2020-09-19,2020,9,19,Saturday,3,38,True
2020-09-20,2020,9,20,Sunday,3,38,True
2020-09-21,2020,9,21,Monday,3,39,False
